"","x"
"709","sqrt(data$unique_operands)*(data$line_blank)+(1/data$flow_graph)"
"710","MC_line_count"
"711","sqrt(data$line_blank)*(data$total_operators)-(1/data$flow_graph)"
"712","_baseline_"
"713","total_operands"
"714","sqrt(data$total_operators)/(data$flow_graph)/(1/data$total_operands)"
"715","sqrt(data$line_code)/(data$flow_graph)/(1/data$line_blank)"
"716","MC_design"
"717","sqrt(data$line_code_and_comment)/(data$flow_graph)/(1/data$total_operands)"
"718","MC_line_count"
"719","MC_line_count"
"720","source.4"
"721","line_code"
"722","total_operators"
"723","source.2"
"724","unique_operators"
"725","total_operands"
"726","_full_model_"
"727","MC_cyclomatic"
"728","MC_essential"
"729","_baseline_"
"730","sqrt(data$line_comment)+(data$line_code)/(1/data$total_operators)"
"731","sqrt(data$line_code)+(data$line_blank)/(1/data$total_operands)"
"732","sqrt(data$line_comment)+(data$line_code)/(1/data$unique_operators)"
"733","sqrt(data$unique_operators)+(data$line_blank)/(1/data$unique_operands)"
"734","sqrt(data$line_code)+(data$line_blank)/(1/data$flow_graph)"
"735","source.4"
"736","sqrt(data$unique_operands)+(data$unique_operators)/(1/data$total_operators)"
"737","source.2"
"738","sqrt(data$flow_graph)+(data$unique_operands)/(1/data$line_comment)"
"739","MC_line_count"
"740","MC_essential"
"741","MC_design"
"742","_baseline_"
"743","sqrt(data$line_code)+(data$line_comment)+(1/data$flow_graph)"
"744","sqrt(data$unique_operands)+(data$line_blank)+(1/data$flow_graph)"
"745","_baseline_"
"746","MC_line_count"
"747","sqrt(data$line_blank)-(data$total_operands)*(1/data$flow_graph)"
"748","sqrt(data$line_comment)-(data$total_operators)/(1/data$total_operands)"
"749","MC_design"
"750","sqrt(data$total_operators)-(data$unique_operators)/(1/data$total_operands)"
"751","_baseline_"
"752","MC_design"
"753","MC_line_count"
"754","MC_line_count"
"755","unique_operands"
"756","MC_design"
"757","source.3"
"758","line_comment"
"759","_baseline_"
"760","total_operators"
"761","total_operands"
"762","line_code"
